access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
private,Drivers must bring their own J1772 cordset for Level 1 charging,,,2024-03-14,,ELEC,Private,35272,LD,2009-11-15,P,,E,COLLEGE_CAMPUS,New York Institute of Technology - Old Westbury Solar Carport Station,,2024-03-14T18:02:10Z,GPS,40.814019,-73.608978,Old Westbury,US,Route 25A,,NY,Valentines Ln & Northern Blvd,11568,,,,,,,,,,,,['NEMA520'],,4.0,,Non-Networked,,,,SOLAR,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,Employee and guest use only,,,2022-03-07,,ELEC,Private,35562,LD,2008-07-01,P,,E,STATE_GOV,New York State Energy Research Development Authority - Headquarters,,2024-03-08T19:13:31Z,200-9,42.702424,-73.857693,Albany,US,,,NY,17 Columbia Cir,12203,,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,7.0,Non-Networked,,,Free,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,Employee and guest use only,,,2022-06-14,,ELEC,Private,35563,LD,2008-07-01,SG,,E,RESEARCH_FACILITY,Saratoga Technology & Energy Park,,2024-03-04T21:28:10Z,200-9,42.969823,-73.773021,Malta,US,,,NY,10 Hermes Rd,12020,,,,,,,,,,,,['NEMA520'],,2.0,,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,7am-10pm M-Sat; Drivers must bring their own J1772 cordset for Level 1 charging,,,2023-03-08,,ELEC,Public,36532,LD,2010-10-15,SG,False,E,COLLEGE_CAMPUS,Hudson Valley Community College - TEC-SMART Building,518-629-7075,2024-01-31T22:07:01Z,GPS,42.97167,-73.774182,Malta,US,,,NY,345 Hermes Rd,12020,,,,,,,,,,,,['NEMA520'],,1.0,,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,
private,Accepts fleet card,GOVERNMENT,,2024-01-10,,ELEC,Private - Government only,41240,,2021-01-15,FG,,E,HOSPITAL,James J Peters VA Medical Center,,2024-01-31T22:07:01Z,GPS,40.867403,-73.906405,Bronx,US,JJPVA Motor Pool,,NY,130 W Kingsbridge Rd,10468,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,$0.13 per kWh,,False,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,"{'id': 19, 'code': 'VA', 'name': 'Department of Veterans Affairs'}",
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44174,LD,2011-11-30,P,False,E,CAR_DEALER,Thruway Nissan,845-562-1000,2024-02-12T15:25:05Z,200-8,41.50406,-74.0684,Newburgh,US,,,NY,79 Route 17K,12550,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44175,,2011-11-30,P,,E,CAR_DEALER,Thruway Nissan,845-562-1000,2024-02-12T15:25:05Z,200-8,41.50406,-74.0684,Newburgh,US,,,NY,79 Route 17K,12550,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; see service desk for access,CALL,,2024-02-12,,ELEC,Public - Call ahead,44176,LD,2011-11-30,P,False,E,CAR_DEALER,Country Club Imports,607-432-2800,2024-02-12T15:25:05Z,200-8,42.45165,-75.09985,Oneonta,US,,,NY,55 Oneida St,13820,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44177,LD,2011-11-30,P,,E,CAR_DEALER,Country Club Imports,607-432-2800,2024-02-12T15:25:05Z,200-8,42.45165,-75.09985,Oneonta,US,,,NY,55 Oneida St,13820,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44178,LD,2011-11-30,P,False,E,CAR_DEALER,West-Herr Nissan,716-662-8008,2024-02-12T15:25:05Z,200-9,42.784867,-78.76558,Orchard Park,US,,,NY,3580 Southwestern Blvd,14127,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
